"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"WDR76",3.51864014261248e-37,0.712800354839392,0.214,0.293,1.05559204278374e-33
"DYNC2H1",3.65606564597034e-37,2.18337581447082,0.293,0.4,1.0968196937911e-33
"RPGRIP1",3.91300287423193e-37,6.63000411366303,0.133,0.198,1.17390086226958e-33
"TLE1",4.28070613220826e-37,2.19359963803517,0.062,0.115,1.28421183966248e-33
"LOC698693",4.31525240229434e-37,8.4567432296807,0.189,0.327,1.2945757206883e-33
"BRMS1L",4.40323732559644e-37,3.14805681720009,0.233,0.323,1.32097119767893e-33
"CENPF",4.85288374772761e-37,5.4821403966048,0.245,0.295,1.45586512431828e-33
"HSDL2",4.97304396834451e-37,6.68359973803011,0.244,0.37,1.49191319050335e-33
"LOC106995194",5.35595114693008e-37,1.97810377948096,0.283,0.371,1.60678534407902e-33
"INTS12",6.59028201369311e-37,5.96345106040863,0.258,0.407,1.97708460410793e-33
"LOC114670456",6.63425552163557e-37,3.64508534290797,0.348,0.49,1.99027665649067e-33
"KLF9",7.44020983275162e-37,2.26956633205916,0.258,0.385,2.23206294982549e-33
"C4H6orf203",9.13860642760386e-37,1.1189268299413,0.342,0.48,2.74158192828116e-33
"NMRK1",1.01409165313915e-36,3.56354746974779,0.284,0.395,3.04227495941746e-33
"LOC707459",1.0893454886036e-36,1.8012019784706,0.206,0.32,3.26803646581079e-33
"ZNF318",1.13633028309047e-36,0.258241495092289,0.335,0.443,3.40899084927141e-33
"LOC107000097",1.13860242394666e-36,3.03172732408676,0.318,0.436,3.41580727183999e-33
"BHLHE40",1.48867739263231e-36,9.93506405209767,0.247,0.288,4.46603217789693e-33
"TULP3",1.73610713540424e-36,8.61020569585483,0.282,0.423,5.20832140621271e-33
