Gene ID	Gene name	P-value (After vs Before)	FDR step up (After vs Before)	Ratio (After vs Before)	Log2(Ratio) (After vs Before)	Fold change (After vs Before)	LSMean(After) (After vs Before)	LSMean(Before) (After vs Before)	Pct(After) (After vs Before)	Pct(Before) (After vs Before)
HEXB	HEXB	0.02517658722916261E0	0.04544385244455999E0	0.9980589387003136E0	-0.002803080867972387E0	-1.001944836346252E0	1.036740654975242E0	1.038756945882675E0	0.04367950608628642E0	0.05014316294824542E0
TRPC7	TRPC7	0.02517130441060634E0	0.04543837755701376E0	1.00089005067019E0	0.001283500582439417E0	1.00089005067019E0	1.001571766329547E0	1.000681109437446E0	0.00176010109011321E0	0.00124453993762432E0
LOC106998212	.	0.02515607198856862E0	0.04541493940160073E0	0.9995819257902566E0	-6.032797057523749E-4	-1.000418249068892E0	1.00013047122724E0	1.000548774865602E0	3.024129350089356E-4	8.591671227585223E-4
SENP8	SENP8	0.02512493062380384E0	0.04536277364258425E0	0.997351006657147E0	-0.003826760331122587E0	-1.00265602914638E0	1.013687196737892E0	1.01637957947774E0	0.01507942260367305E0	0.02047548127683215E0
LOC106994250	.	0.02511730650227316E0	0.04535325868208319E0	0.9977835656749202E0	-0.003201187732396474E0	-1.002221357818798E0	1.001299216110854E0	1.003523459953518E0	0.001884789029489123E0	0.00533490392345173E0
LOC100426347	.	0.02511741517069921E0	0.04535325868208319E0	0.9981854372534358E0	-0.002620238689217498E0	-1.001817861370085E0	1.014008126033822E0	1.015851452235091E0	0.01664292660783524E0	0.02143270370141128E0
FOXP3	FOXP3	0.02508874591535569E0	0.04530959316866542E0	1.009552482117515E0	0.01371591188046179E0	1.009552482117515E0	1.028750239991093E0	1.01901610685292E0	0.02899723516840481E0	0.02034697846824917E0
LOC114680154	.	0.02507664074104734E0	0.04529178124722115E0	1.000829044821507E0	0.001195563333316938E0	1.000829044821507E0	1.021530655849631E0	1.020684462681452E0	0.02399526089663557E0	0.02620167474173726E0
DPH2	DPH2	0.02506294785611472E0	0.04527109826487258E0	1.000799726783792E0	0.001153300763730065E0	1.000799726783792E0	1.006943528508429E0	1.006138892288052E0	0.00815392932121049E0	0.009051845147359523E0
MRM2	MRM2	0.02504499143552165E0	0.0452427096873863E0	1.002161131079122E0	0.003114488892064394E0	1.002161131079122E0	1.010417300227461E0	1.008238364961779E0	0.01182558101654124E0	0.0116692201916558E0
UBE2M	UBE2M	0.02503747321229408E0	0.04523317387673666E0	0.9943237708626913E0	-0.008212397465037961E0	-1.005708632644258E0	1.021105674849295E0	1.026934792037977E0	0.02740566819797413E0	0.03659108716243694E0
LOC114679546	.	0.02498649152923881E0	0.04514510742531223E0	1.001425745964636E0	0.002055451704697766E0	1.001425745964636E0	1.002773262377082E0	1.001345597931625E0	0.003504533446248039E0	0.002872983052061027E0
CCR8	CCR8	0.02498380605882789E0	0.04514429368189351E0	0.9983034313046888E0	-0.002449709881893611E0	-1.001699451932259E0	1.000451547463797E0	1.002151766779266E0	0.001306647841112387E0	0.004425493135657247E0
CTU1	CTU1	0.02491871679472622E0	0.04503179257166278E0	0.9965950382632965E0	-0.004920703577893423E0	-1.003416595112331E0	1.015347323356761E0	1.01881635405906E0	0.01946275797884297E0	0.02617285284532266E0
PTH2R	PTH2R	0.02491931604978092E0	0.04503179257166278E0	1.000438435782825E0	6.323905084435222E-4	1.000438435782825E0	1.003579312127326E0	1.003139499875415E0	0.00729080624776714E0	0.008443451425873789E0
LOC106994257	.	0.02489623761419957E0	0.0449981393585327E0	0.9999836634822369E0	-2.356880567887218E-5	-1.000016336784649E0	1.000574452240668E0	1.00059079841002E0	4.365336135051213E-4	0.001325741404615118E0
SCHIP1	SCHIP1	0.02487453733776203E0	0.04496294121604773E0	1.000343055022872E0	4.948389066161044E-4	1.000343055022872E0	1.003426688726186E0	1.003082576210061E0	0.00496931722433564E0	0.00593640152260339E0
VWA2	VWA2	0.02487167650152899E0	0.04496179378661797E0	0.9994530378016874E0	-7.893155336225934E-4	-1.000547261529682E0	1.00648774118626E0	1.007038553207108E0	0.007352264066851135E0	0.009842020356980187E0
