Gene ID	Gene name	P-value (After vs Before)	FDR step up (After vs Before)	Ratio (After vs Before)	Log2(Ratio) (After vs Before)	Fold change (After vs Before)	LSMean(After) (After vs Before)	LSMean(Before) (After vs Before)	Pct(After) (After vs Before)	Pct(Before) (After vs Before)
DNASE1L1	DNASE1L1	0.01364112313968071E0	0.02605915115627267E0	0.9991852442217387E0	-0.001175923231034139E0	-1.000815420146537E0	1.023707867350586E0	1.024542619369793E0	0.02788110115089202E0	0.03247407213821291E0
MRPS21	MRPS21	0.01363631067555071E0	0.02605242177684196E0	1.000129167940308E0	1.863379127412756E-4	1.000129167940308E0	1.019497839468949E0	1.019366170040345E0	0.02337117291195445E0	0.02686738713365187E0
C5H4orf51	C5H4orf51	0.01363178497654982E0	0.02604623904610285E0	1.003866510548135E0	0.005567439234755325E0	1.003866510548135E0	1.020184639608205E0	1.016255277856774E0	0.0212069090738024E0	0.02031032137756274E0
BCKDK	BCKDK	0.01360999778709461E0	0.02600707051123338E0	0.997368655606987E0	-0.003801230876640046E0	-1.002638286633754E0	1.015083867252136E0	1.017761949451247E0	0.01719602392294673E0	0.02301188088449478E0
LOC698288	.	0.01360082950672448E0	0.0259920100649845E0	0.9999318103029583E0	-9.838029206105668E-5	-1.000068194347194E0	1.029919497993344E0	1.029989732681172E0	0.03332127117659839E0	0.0374457901433515E0
EPHX3	EPHX3	0.01359381950394645E0	0.02598107175820499E0	0.9972707235701357E0	-0.003942896648907404E0	-1.002736745765577E0	1.001337246909638E0	1.004077652380032E0	0.002342741279866496E0	0.006652140403705208E0
HSPB11	HSPB11	0.01359173371235955E0	0.02597954362848853E0	0.9942195520643705E0	-0.008363619660610904E0	-1.005814055782374E0	1.065463485738396E0	1.071658149878562E0	0.07269187637322072E0	0.08465822925845931E0
LOC708328	.	0.0135734678618219E0	0.02594708535614979E0	1.002182401504892E0	0.003145109129840376E0	1.002182401504892E0	1.024538280260755E0	1.022307195498837E0	0.02568525431231408E0	0.0273446822806659E0
LOC106994780	.	0.01356603773089716E0	0.02593533649679705E0	0.9989591736228408E0	-0.001502377045282735E0	-1.001041910825429E0	1.001312965650334E0	1.002356244468887E0	0.001953560620970634E0	0.004310035377221174E0
PRKAB2	PRKAB2	0.01355377640857891E0	0.02591603998851877E0	0.9962113272703431E0	-0.005476279837668668E0	-1.003803081360295E0	1.042190934830387E0	1.046154471748509E0	0.04945765990762568E0	0.05799334060045996E0
LOC114674403	.	0.01355466117629034E0	0.02591603998851877E0	1.00055502995129E0	8.005168234089225E-4	1.00055502995129E0	1.001018963239579E0	1.000463675934258E0	0.001404532735300975E0	9.470936118108678E-4
LOC114672206	.	0.01354572890908433E0	0.02590386598235991E0	1.000343839121169E0	4.959697329610568E-4	1.000343839121169E0	1.000929572259864E0	1.000585531809952E0	0.001342151790424644E0	0.001630289502912471E0
ALAD	ALAD	0.01353459873636132E0	0.02588503222015207E0	1.002450677797929E0	0.003531255486357194E0	1.002450677797929E0	1.037958525219004E0	1.03542104186021E0	0.04244879937591466E0	0.04437970830347572E0
TMEM186	TMEM186	0.01351161649337163E0	0.02584352556184849E0	0.9981302627324848E0	-0.002699985602774482E0	-1.001873239733656E0	1.010610360184022E0	1.012503475665963E0	0.01299220765053144E0	0.01776529744559087E0
ZNF583	ZNF583	0.01349372441409846E0	0.02581174786589267E0	1.003217565132525E0	0.004634513328087358E0	1.003217565132525E0	1.031880499744297E0	1.028571005540543E0	0.03607063490475806E0	0.03656483589783948E0
LOC114673979	.	0.01347583360614402E0	0.02577996658239221E0	0.9986860520461854E0	-0.001896872666019106E0	-1.001315676684502E0	1.006126399898645E0	1.007450136944654E0	0.007013990658546659E0	0.01028112870955932E0
IGF2BP3	IGF2BP3	0.01346273687648703E0	0.02575735146644738E0	0.995587041592844E0	-0.006380642342024648E0	-1.004432518928828E0	1.006405286347832E0	1.010866196829641E0	0.008699114506972002E0	0.01570508763289601E0
ZBTB45	ZBTB45	0.01345614835322118E0	0.02574718496005696E0	1.000542041624711E0	7.817889019986101E-4	1.000542041624711E0	1.018253910189936E0	1.017702273196301E0	0.02229346785591921E0	0.0252698800064333E0
LOC114672291	.	0.01344883720255841E0	0.02573563371077923E0	0.9969831246865525E0	-0.004359009659144123E0	-1.003026004391394E0	1.004781148720978E0	1.007821620889398E0	0.005965433858086283E0	0.01190012931451202E0
DOLPP1	DOLPP1	0.01342328915207769E0	0.02568917891734558E0	0.9985561352691502E0	-0.002084561761925184E0	-1.001445952490654E0	1.007166773201543E0	1.008623088505757E0	0.008537767924077079E0	0.01217551236318406E0
LOC107000587	.	0.01341747916488422E0	0.02568049314624576E0	0.9992811185576889E0	-0.001037499656130881E0	-1.000719398604618E0	1.010231563651749E0	1.01095832282898E0	0.01351713844278051E0	0.01693000923585235E0
GNAL	GNAL	0.01338646500544538E0	0.02562356142721624E0	1.000564906471069E0	8.14757655102259E-4	1.000564906471069E0	1.041587592373646E0	1.04099952500559E0	0.04481880598667773E0	0.04892968630756295E0
LOC114680580	.	0.01338333635552391E0	0.02562000073062951E0	0.9994594986175658E0	-7.799894757205273E-4	-1.000540793682167E0	1.001083798462561E0	1.001625178256089E0	0.001835479031409512E0	0.005223250459763599E0
MXD3	MXD3	0.01335701024967084E0	0.02557202777467787E0	0.9940336678218192E0	-0.008633378334211666E0	-1.006002142956842E0	1.017009400505732E0	1.02311363631602E0	0.02131331759244679E0	0.03116751107614266E0
LOC106998899	.	0.0133317590657015E0	0.02552610385904246E0	1.000490559152362E0	7.075537220838716E-4	1.000490559152362E0	1.01311462076074E0	1.012617871795886E0	0.01670988788398725E0	0.01886360871640302E0
LOC114672289	.	0.01331760523524105E0	0.02550142117381481E0	0.9997363541942289E0	-3.804106455765138E-4	-1.000263715333213E0	1.003467031959874E0	1.003731661602575E0	0.003999941892898935E0	0.005405465577474438E0
TMEM79	TMEM79	0.0133067381027947E0	0.02548302798902507E0	1.001443564939844E0	0.002081122223515967E0	1.001443564939844E0	1.004276572966225E0	1.002828924290458E0	0.005740886196394034E0	0.005310411002841571E0
PDF	PDF	0.01329663702415063E0	0.02546609848414512E0	0.9984601998439759E0	-0.002223174110574933E0	-1.001542174797017E0	1.016294200290612E0	1.017861503592655E0	0.01960853314007129E0	0.02422259212936424E0
POLD2	POLD2	0.01328796803676391E0	0.02545190881048436E0	1.001909521239075E0	0.002752229936809633E0	1.001909521239075E0	1.030426657103999E0	1.028462785571353E0	0.03517431105456014E0	0.03753455566560307E0
LOC114673723	.	0.01327031227908205E0	0.02542050146176965E0	0.9992029750355378E0	-0.001150322442465607E0	-1.000797660719969E0	1.000299261600369E0	1.001097161029562E0	1.927014866900978E-4	0.002674657684035855E0
KIAA1522	KIAA1522	0.0132635003827769E0	0.02540986253735444E0	1.001606382571053E0	0.002315660748053192E0	1.001606382571053E0	1.002798866648298E0	1.001190571563835E0	0.003220530889262612E0	0.002055939690546836E0
STAB2	STAB2	0.01325910636889971E0	0.02540385414902641E0	1.000226332410585E0	3.264916999101255E-4	1.000226332410585E0	1.000681065161291E0	1.000454629853236E0	8.375962060294291E-4	0.001262565220732437E0
LOC114678257	.	0.01323200888450005E0	0.02535434166105038E0	1.00007817752415E0	1.127819179518434E-4	1.00007817752415E0	1.00040382598426E0	1.00032562300371E0	7.062937291133711E-4	9.92959717277253E-4
CEP85	CEP85	0.01322047850021901E0	0.02533465130430963E0	0.9978968885183861E0	-0.003037343561732922E0	-1.002107543881349E0	1.050165754990814E0	1.052379025402147E0	0.0566526744705439E0	0.06460124574054693E0
LOC708398	.	0.01319645474366882E0	0.0252910136552446E0	1.000036170424977E0	5.21819490254574E-5	1.000036170424977E0	1.000504540674657E0	1.000468353309141E0	0.001007916985582895E0	6.676447251247852E-4
LOC106993846	.	0.01319510793829303E0	0.02529083223929043E0	1.008415400499269E0	0.01209005628634558E0	1.008415400499269E0	1.039851904215029E0	1.031174160668506E0	0.04397873934005596E0	0.0382453646015498E0
MYO1C	MYO1C	0.0131566302201641E0	0.02521947586475036E0	1.000837658615738E0	0.001207980064032802E0	1.000837658615738E0	1.058110982330381E0	1.057225388375032E0	0.06778761652194784E0	0.07313896757138008E0
BCL2L14	BCL2L14	0.01315397162132738E0	0.02521677285569195E0	0.997719626003083E0	-0.003293641052332977E0	-1.002285585987771E0	1.000808004196699E0	1.00309543694754E0	0.001030043048613942E0	0.004878345858988559E0
CCSAP	CCSAP	0.01313394756620823E0	0.02518077578948969E0	0.9969830048459284E0	-0.004359183075805031E0	-1.003026124958407E0	1.02951840938312E0	1.032633860736894E0	0.03547443564222229E0	0.04274432889219063E0
LOC107001058	.	0.01312437091054251E0	0.02516480384005483E0	1.000402061014294E0	5.799348546700059E-4	1.000402061014294E0	1.000653767935712E0	1.00025160576055E0	0.001529972828552565E0	6.988372611892315E-4
ECM2	ECM2	0.01310422174852699E0	0.02512855510080207E0	0.9983035730857779E0	-0.002449504987416457E0	-1.00169930966888E0	1.004406378733292E0	1.006113176204158E0	0.005376891959896439E0	0.008819253516708911E0
MAPK3	MAPK3	0.01307813482421805E0	0.02508091218947552E0	1.004684879593088E0	0.006743069625792598E0	1.004684879593088E0	1.031908691881518E0	1.027096866730448E0	0.03739376939650951E0	0.03601315768305893E0
NDUFC2	NDUFC2	0.01307395057472883E0	0.02507526860776498E0	1.000445705849744E0	6.428743633281364E-4	1.000445705849744E0	1.022278582359524E0	1.021823149804253E0	0.0269372223062825E0	0.03010169021541201E0
LRRC75B	LRRC75B	0.01306599770634165E0	0.02506239522057822E0	1.001340069316132E0	0.001932017127326741E0	1.001340069316132E0	1.004634686680949E0	1.003290208257687E0	0.005609811236724219E0	0.004936039606799367E0
THBS3	THBS3	0.0130292688030328E0	0.02499431772092853E0	0.996846209380107E0	-0.004557148015889259E0	-1.003163768483259E0	1.02848183702629E0	1.031735715447878E0	0.0328837742707186E0	0.04070833221284344E0
USP21	USP21	0.01300152792597563E0	0.0249434708443062E0	1.000612245338862E0	8.830130314511312E-4	1.000612245338862E0	1.03006752401669E0	1.029437255855142E0	0.03590141891995782E0	0.03889849661886437E0
ZNF879	.	0.01299898073369588E0	0.02494242199471183E0	0.9995366688730394E0	-6.686004228130709E-4	-1.000463545902206E0	1.018285113243546E0	1.018757135135067E0	0.02056023433072747E0	0.0240175188311896E0
CD59	CD59	0.01299974632826673E0	0.02494242199471183E0	0.9998254155083095E0	-2.518941694256299E-4	-1.000174614976757E0	1.018496974586336E0	1.018674819411881E0	0.02234328697533312E0	0.02563368467341501E0
LTBP1	LTBP1	0.01299171986984581E0	0.024931758473268E0	0.9956772389478362E0	-0.006249944194009542E0	-1.004341528442221E0	1.027745053813098E0	1.032207038195579E0	0.02743047044393152E0	0.03465204238876589E0
PACSIN1	PACSIN1	0.01298172501425898E0	0.02491494506252402E0	1.007483951893141E0	0.01075685839733522E0	1.007483951893141E0	1.022094806267002E0	1.014502319710806E0	0.03097348373771633E0	0.0238268647239203E0
DUS1L	DUS1L	0.01296950810124632E0	0.02489386340672557E0	0.9980938656237623E0	-0.002752594853926756E0	-1.001909774663374E0	1.026771819346797E0	1.028732722152452E0	0.03277318344471666E0	0.03902102221327491E0
LOC106992786	.	0.01296069187692695E0	0.02487930569570143E0	1.000234710828638E0	3.385764162975374E-4	1.000234710828638E0	1.000406778629337E0	1.000172027424E0	0.001027900128503809E0	3.263206830035164E-4
INAFM2	.	0.01295860161106766E0	0.02487765757440781E0	1.00076718765656E0	0.00110639347608729E0	1.00076718765656E0	1.003129898478563E0	1.002360899568995E0	0.003951496134970461E0	0.004173770813237792E0
LOC114673161	.	0.01295427171505147E0	0.02487170913503893E0	0.9996914480328146E0	-4.452150824423774E-4	-1.000308647200886E0	1.000800661694642E0	1.001109556017519E0	0.001084138648558603E0	0.00274875388279766E0
LOC106994249	.	0.01295193403834394E0	0.02487075877065565E0	0.9998432100905558E0	-2.262177596111098E-4	-1.000156814496375E0	1.00061943653871E0	1.000776348171714E0	8.868257150007284E-4	0.001619895743111536E0
LOC114675553	.	0.01295254537620194E0	0.02487075877065565E0	1.001983218609855E0	0.002858346226653384E0	1.001983218609855E0	1.016684345494008E0	1.01467202904311E0	0.02201137351975338E0	0.02259420221287639E0
GPT2	GPT2	0.01294815643278824E0	0.02486705939236064E0	1.00319306383586E0	0.004599278368019061E0	1.00319306383586E0	1.004903316586724E0	1.001704809186304E0	0.007235513620368395E0	0.002832851904204386E0
GIPR	GIPR	0.01294068670242343E0	0.02485507702696353E0	0.9974540192431919E0	-0.003677757551163113E0	-1.002552479320039E0	1.006494335721011E0	1.009063391698676E0	0.00727558958622067E0	0.01194933989036989E0
LOC106992631	.	0.01293126742585716E0	0.0248393475480231E0	1.000360819400413E0	5.20458469522088E-4	1.000360819400413E0	1.000384161875633E0	1.000023334055839E0	8.188509102621124E-4	1.616861187197043E-4
UTP4	UTP4	0.01287679388323581E0	0.02473706323507675E0	0.9895994289335653E0	-0.01508342710637699E0	-1.010509879818385E0	1.063879269451351E0	1.075060512714556E0	0.071717015701779E0	0.08757813733431376E0
KREMEN1	KREMEN1	0.01285739656090047E0	0.02470214931390352E0	0.9979486234618798E0	-0.002962550451757421E0	-1.002055593334058E0	1.005549596591782E0	1.007616597639601E0	0.005883803869111459E0	0.01001730413494451E0
LOC114679588	.	0.01285219361115719E0	0.02469450214594301E0	0.9994328317845739E0	-8.18482902435692E-4	-1.000567490077761E0	1.007299534511576E0	1.007871167002744E0	0.008612062628497126E0	0.01144813041743959E0
GRM2	GRM2	0.01282676163282981E0	0.02464798130148383E0	1.001787688432584E0	0.00257678667611113E0	1.001787688432584E0	1.003917402906133E0	1.00212591400168E0	0.006000345547552973E0	0.003976096976893536E0
DHRS2	DHRS2	0.01281662034890675E0	0.02463083708917398E0	1.000361876385806E0	5.219828262834206E-4	1.000361876385806E0	1.00042485958004E0	1.000062960410348E0	0.00116667450477644E0	4.914441907862981E-4
TRAPPC3	TRAPPC3	0.01278270390092672E0	0.02456799442296298E0	0.9998629385668206E0	-1.977514022999231E-4	-1.000137080221591E0	1.033078445523473E0	1.033220060145706E0	0.04002794612700658E0	0.0448100451826956E0
LOC114674170	.	0.01275847347668589E0	0.0245237578304246E0	0.9983284937776608E0	-0.002413491383114005E0	-1.001674304833286E0	1.010281959804682E0	1.011973479772964E0	0.01163716095139714E0	0.01610420384829185E0
UCK2	UCK2	0.01274727435435596E0	0.02450456337767979E0	1.004626866569963E0	0.006659762392902839E0	1.004626866569963E0	1.083162572496569E0	1.078174005235143E0	0.08294862875005313E0	0.08501830888818213E0
LOC114672158	.	0.01273249560761168E0	0.02447848336974498E0	0.9999463440353075E0	-7.741127098281576E-5	-1.00005365884381E0	1.000133002822579E0	1.000186668803167E0	4.389386685879466E-4	7.483957559416778E-4
BRI3	BRI3	0.01272967257946466E0	0.02447538569824153E0	0.9981394854627584E0	-0.002686655152577263E0	-1.001863982503787E0	1.017387124919437E0	1.019283516719865E0	0.02145703784179257E0	0.0271265708467271E0
LOC114671784	.	0.01272158196436657E0	0.02446391152460079E0	1.000827329302477E0	0.001193090410562198E0	1.000827329302477E0	1.002807565892769E0	1.001978599636835E0	0.004390559927715337E0	0.004073277458771205E0
LOC106994356	.	0.01272249364562861E0	0.02446391152460079E0	1.00073689426223E0	0.001062722188909196E0	1.00073689426223E0	1.001691451540514E0	1.000953854388458E0	0.003024192198822897E0	0.002917939170899683E0
RPAIN	RPAIN	0.01270960388467001E0	0.02444378016211815E0	1.000269890377536E0	3.893169751653111E-4	1.000269890377536E0	1.03463636984246E0	1.034357206785413E0	0.04080071530762085E0	0.04494579051206121E0
LOC701262	.	0.01270455865224674E0	0.02443640373850868E0	1.002076775021368E0	0.002993046157255042E0	1.002076775021368E0	1.005817059461988E0	1.003732532809714E0	0.006890243746725686E0	0.006010422765243077E0
SLC27A4	SLC27A4	0.01269300447543065E0	0.02441650518045221E0	1.004581155257528E0	0.00659411714058734E0	1.004581155257528E0	1.040590273336698E0	1.035844906995034E0	0.0477601388395435E0	0.04709963570061212E0
SLC25A30	SLC25A30	0.01263938521458431E0	0.02431567792781921E0	0.9965303904874309E0	-0.005014292294723032E0	-1.003481689615981E0	1.059603954964043E0	1.063293167051093E0	0.06642339653869764E0	0.07557616125087943E0
SNX7	SNX7	0.01263750527228136E0	0.02431437716608296E0	0.9994459588224509E0	-7.995339671265297E-4	-1.000554348309339E0	1.000156438992557E0	1.000710874023587E0	5.664534981176612E-4	0.001456716144453729E0
LOC106999368	.	0.01262642620705934E0	0.02429537549111027E0	1.003097570009451E0	0.004461941864946062E0	1.003097570009451E0	1.012442657917352E0	1.009316230232531E0	0.01391345498853548E0	0.0127545583996409E0
LOC705652	.	0.01261245609148565E0	0.02427080679647743E0	1.001983565307308E0	0.002858845415262797E0	1.001983565307308E0	1.061194658385302E0	1.059093876514665E0	0.06655071742782048E0	0.07013964306179554E0
TP53I3	TP53I3	0.01260837474448284E0	0.02426526470596135E0	0.9997792510323097E0	-3.185085974837711E-4	-1.000220797708557E0	1.001346294363958E0	1.001567389331226E0	0.001480286815586579E0	0.002836035813472079E0
EAF2	EAF2	0.01259796685303772E0	0.02424754473962797E0	0.9938764915387304E0	-0.00886151484587689E0	-1.006161236847235E0	1.038222217834579E0	1.04461895081872E0	0.03967323726875934E0	0.0501681190313624E0
GNRHR2	GNRHR2	0.01259210315923765E0	0.02423856853238178E0	0.9996472352506259E0	-5.090217422656871E-4	-1.000352889236257E0	1.006482717979588E0	1.006837894897242E0	0.007613546387375771E0	0.01006552079765485E0
WDR55	WDR55	0.0125825693625996E0	0.02422252535129496E0	0.9951083300564917E0	-0.007074505182778844E0	-1.004915716003735E0	1.023550977314392E0	1.028582463234215E0	0.02933051633945612E0	0.03857985371364928E0
CEP72	CEP72	0.01253609090735141E0	0.02413535069551842E0	1.001024863251077E0	0.001477807983655207E0	1.001024863251077E0	1.041042877377948E0	1.039977043124486E0	0.04826630092413581E0	0.052244755821726E0
MAMU-DQB1	.	0.01252787836384993E0	0.02412183862660066E0	0.9923305006469917E0	-0.01110739742707181E0	-1.007728775189322E0	1.033383375831108E0	1.04137016362729E0	0.04041228809023341E0	0.05234196004241187E0
AIMP2	AIMP2	0.01250742834095085E0	0.02408475904571698E0	1.003694211202467E0	0.005319799988319955E0	1.003694211202467E0	1.022409278696879E0	1.018646184550563E0	0.02723265291582299E0	0.02604673608558584E0
LOC100423401	.	0.01250301826171642E0	0.02407856243803854E0	0.9989743971303549E0	-0.00148039145064899E0	-1.001026655810791E0	1.000108970030021E0	1.001135737715526E0	2.462868082066407E-4	0.001512650599404174E0
LRRC42	LRRC42	0.01249970107223884E0	0.02407446955822257E0	0.996472740189977E0	-0.005097756085607681E0	-1.003539745411752E0	1.029474221360166E0	1.033118298011742E0	0.03428967051917456E0	0.04179520344911346E0
MRPS10	.	0.01248756961408415E0	0.02405339796540831E0	0.9973982537940579E0	-0.00375841769630461E0	-1.002608532946639E0	1.061981527757008E0	1.064751741560884E0	0.07270684342368515E0	0.08117336603140594E0
LOC114677472	.	0.01245990746013103E0	0.02400240447112319E0	1.000019354058882E0	2.792173457217293E-5	1.000019354058882E0	1.098496786877067E0	1.098475526917038E0	0.08118999551063505E0	0.08871686190553552E0
LOC721315	.	0.01245505887146247E0	0.02399535283153368E0	0.9976468278754789E0	-0.003398910435330629E0	-1.002358722604804E0	1.012801732529389E0	1.015190650870091E0	0.01569664223490401E0	0.02089253894444126E0
LOC716637	.	0.01243790797487642E0	0.02396459651593571E0	1.001431188936826E0	0.002063293052574529E0	1.001431188936826E0	1.034586277571419E0	1.033107705253111E0	0.04048627646213925E0	0.04319584338271217E0
